Wine and Vintage,Vintage,Price per Bottle (ZAR),RATING,Category,Second Category
Painted Wolf Lycaon Old Vine Chenin Blanc 2021,2021,240,"94/100, DWA 2023",Chenin Blanc,White
Eenzaamheid Chenin Blanc 2021,2021,250,"95/100, PG 2023",Chenin Blanc,White
Endura Single Vineyard Chenin Blanc (Perdeberg) 2021,2021,250,"Gold, GWM 2023",Chenin Blanc,White
Zevenwacht Z Chenin Blanc 2021,2021,270,"95/100, DM 2023",Chenin Blanc,White
Alvi's Drift Albertus Viljoen Chenin Blanc 2021,2021,280,"Gold, GWM 2023",Chenin Blanc,White
Roodekrantz Rhenosterbosrug Chenin Blanc 2021,2021,280,"93/100, DM 2023",Chenin Blanc,White
Miles Mossop Chapter Three Chenin Blanc 2021,2021,295,"95/100, DM 2023",Chenin Blanc,White
Miles Mossop Chapter Two Chenin Blanc 2021,2021,295,"93/100, DM 2023",Chenin Blanc,White
Mulderbosch Single Vineyard Chenin Blanc Block W 2021,2021,320,"93/100, DM 2023",Chenin Blanc,White
Ahrens Family Koffieklip OVC 2021 (Chenin),2021,325,"95/100, PG 2023",Chenin Blanc,White
Hogan Chenin Blanc 2021,2021,330,"95/100, DM 2023",Chenin Blanc,White
Survivor Chenin Blanc Reserve (Overhex) 2021,2021,330,"93/100, IWSC 2023",Chenin Blanc,White
Gabriëlskloof Elodie Chenin Blanc 2021,2021,350,"93/100, DM 2023",Chenin Blanc,White
Stark-Condé Monk Stone Chenin Blanc 2021,2021,350,"96/100, DM 2023",Chenin Blanc,White
Thorne & Daughters Cat's Cradle Chenin Blanc 2021,2021,350,"95/100, DM 2023",Chenin Blanc,White
Roodekrantz Die Kliphuis Chenin Blanc 2021,2021,370,"96/100, DM 2023",Chenin Blanc,White
Roodekrantz Donkermaan Chenin Blanc 2021,2021,370,"95/100, DM 2023",Chenin Blanc,White
David & Nadia Rondevlei Chenin Blanc 2021,2021,385,"97/100, DM 2023",Chenin Blanc,White
Raats Family Old Vine Chenin Blanc 2021,2021,395,"95/100, DM 2023",Chenin Blanc,White
L'Avenir Single Block Chenin Blanc 2021,2021,400,"93/100, G&G 2023",Chenin Blanc,White
Rijk's Reserve Chenin Blanc 2021,2021,400,"96/100, PG 2023",Chenin Blanc,White
Beaumont Hope Marguerite 2021 (Chenin),2021,425,"95/100, DM 2023",Chenin Blanc,White
Chamonix Old Vine Steen 2021 (Chenin),2021,440,"95/100, DM 2023",Chenin Blanc,White
Warwick Old Vine Chenin Blanc 2021,2021,450,"Gold, GWM 2023",Chenin Blanc,White
Kleine Zalze Project Z Chenin Blanc 2021,2021,460,"Gold, GWM 2023",Chenin Blanc,White
Rall Ava Chenin Blanc 2021,2021,495,"95/100, DM 2023",Chenin Blanc,White
Ken Forrester FMC 2021 (Chenin),2021,645,"93/100, G&G 2023",Chenin Blanc,White
David & Nadia Plat'bos Chenin Blanc 2021,2021,680,"97/100, DM 2023",Chenin Blanc,White
David & Nadia Skaliekop Chenin Blanc 2021,2021,680,"93/100, DM 2023",Chenin Blanc,White
David & Nadia Hoë-Steen Chenin Blanc 2021,2021,780,"93/100, DM 2023",Chenin Blanc,White
Raats Eden High Density Single Vineyard Chenin Blanc 2021,2021,975,"95/100, DM 2023",Chenin Blanc,White
Rustenberg Fortified Old Vine Muscat of Alexandria 2021,2021,140,"94/100, IWC 2023",Dessert Wine - Fortified,Dessert
Brandvlei Cellar Red Muscadel 2021,2021,65,"D Gold, VA 2023",Dessert Wine - Fortified,Dessert
De Wet Cellar White Muscadel 2021,2021,65,"Best in Class, NWC 2023",Dessert Wine - Fortified,Dessert
Olifantsberg Grenache Blanc 2021,2021,236,"94/100, WM 2023",Grenache Blanc,White
Donkiesbaai Grenache Noir (Guardian Peak) 2021,2021,320,"Trophy, GWC 2023",Grenache Noir,White
Bellevue Malbec 2021,2021,140,"Gold, MC 2023",Malbec,Red
Dornier Malbec 2021,2021,179,"Gold, MC 2023",Malbec,Red
Anura Malbec Reserve 2021,2021,195,"D Gold, VA 2023",Malbec,Red
Vergenoegd Löw Valentina Malbec 2021,2021,250,"N Winner, SAT 2023",Malbec,Red
Mt Vernon Malbec 2021,2021,300,"Winner, MC 2023",Malbec,Red
Fleur du Cap Merlot (Heineken) 2021,2021,125,"Top 20, T10M 2023",Merlot,Red
Le Bonheur Merlot 2021,2021,130,"Top 20, T10M 2023",Merlot,Red
Durbanville Hills Collectors Reserve Merlot 2021,2021,150,"Top 20, T10M 2023",Merlot,Red
Ernie Els Major Series Merlot 2021,2021,230,"93/100, G&G 2023",Merlot,Red
Jordan Black Magic Merlot 2021,2021,231,"Best in Class, NWC 2023",Merlot,Red
Ridgeback Merlot 2021,2021,235,"93/100, G&G 2023",Merlot,Red
Carmen Stevens Merlot 2021,2021,253,"Top 10, T10M 2023",Merlot,Red
Villiera Monro Merlot 2021,2021,325,"95/100, PG 2023",Merlot,Red
DaschBosch Merlot (uniWines) 2021,2021,80,"Gold, MV 2023",Merlot,Red
Kranskop Tannat 2021,2021,150,"N Winner, SAT 2023",Niche Red Varieties,Niche Red
Painted Wolf Darius Carignan 2021,2021,220,"Best in Class, NWC 2023",Niche Red Varieties,Niche Red
Lowerland Tolbos Tannat 2021,2021,325,"94/100, WM 2023",Niche Red Varieties,Niche Red
De Krans Tritonia Verdelho 2021,2021,160,"Best in Class, NWC 2023",Niche White Varieties,Niche White
Springfontein Terroir Selection Chenel 2021,2021,495,"N Winner, SAT 2023",Niche White Varieties,Niche White
Sutherland Emily Petit Verdot (Thelema) 2021,2021,450,"95/100, PG 2023",Petit Verdot,Red
Le Bonheur Petit Verdot Reserve 2021,2021,500,"N Winner, SAT 2023",Petit Verdot,Red
Benguela Cove Vinography Petit Verdot 2021,2021,600,"95/100, PG 2023",Petit Verdot,Red
Leopard's Leap Culinaria Pinot Noir 2021,2021,150,"Gold, MV 2023",Pinot Noir,Red
Bouchard Finlayson Tête de Cuvée Pinot Noir 2021,2021,1529,"93/100, DM 2023",Pinot Noir,Red
De Grendel Op die Berg Pinot Noir 2021,2021,300,"93/100, DWA 2023",Pinot Noir,Red
La Vierge Apogée Pinot Noir 2021,2021,305,"96/100, IWSC 2023",Pinot Noir,Red
David Finlayson Camino Africana Pinot Noir Reserve 2021,2021,365,"95/100, PG 2023",Pinot Noir,Red
Cap Maritime Pinot Noir (Boekenhoutskloof) 2021,2021,445,"95/100, DM 2023",Pinot Noir,Red
Bouchard Finlayson Galpin Peak Pinot Noir 2021,2021,457,"93/100, DWA 2023",Pinot Noir,Red
Kara-Tara Pinot Noir Reserve 2021,2021,590,"95/100, PG 2023",Pinot Noir,Red
Restless River Le Luc Pinot Noir 2021,2021,595,"94/100, DM 2023",Pinot Noir,Red
Shannon RocknRolla Pinot Noir 2021,2021,595,"95/100, PG 2023",Pinot Noir,Red
Stellenbosch Vineyards Credo Pinotage 2021,2021,175,"Top 100, NWC 2023",Pinotage,Red
Survivor Pinotage (Overhex) 2021,2021,200,"95/100, PG 2023",Pinotage,Red
La Cave Pinotage (Wellington Wines) 2021,2021,220,"D Gold, VA 2023",Pinotage,Red
Kanonkop Black Label Pinotage 2021,2021,2350,"96/100, PG 2023",Pinotage,Red
Cecilia Pinotage 2021,2021,245,"95/100, DWA 2023",Pinotage,Red
Groot Phesantekraal Berliet Pinotage 2021,2021,250,"97/100, TWS 2023",Pinotage,Red
Neethlingshof Owl Post Pinotage 2021,2021,299,"95/100, IWSC 2023",Pinotage,Red
Koelenbosch Director's Reserve Pinotage (Koelenhof) 2021,2021,300,"93/100, G&G 2023",Pinotage,Red
Windmeul Legend Pinotage 2021,2021,350,"Top 20, T10P 2023",Pinotage,Red
Diemersdal Journal Pinotage 2021,2021,370,"D Gold, VA 2023",Pinotage,Red
Survivor Pinotage Reserve (Overhex) 2021,2021,440,"Top 10, T10P 2023",Pinotage,Red
Fairview Primo Pinotage 2021,2021,475,"95/100, PG 2023",Pinotage,Red
Kanonkop Pinotage 2021,2021,525,"Gold, GWC 2023",Pinotage,Red
Windmeul Pinotage 2021,2021,70,"95/100, WM 2023",Pinotage,Red
Francois van Niekerk Pinotage 2021,2021,710,"D Gold, VA 2023",Pinotage,Red
Douglas Green Vineyard Friends Pinotage (DGB) 2021,2021,75,"Gold, MV 2023",Pinotage,Red
Stellenrust Pinotage 2021,2021,99,"93/100, IWSC 2023",Pinotage,Red
De Krans Cape Vintage Reserve 2021 (Port),2021,350,"96/100, PG 2023","Port, Sherry",Fortified 
Delaire Graff Cape Vintage 2021 (Port),2021,560,"96/100, PG 2023","Port, Sherry",Fortified 
Leipzig Manor 2021 (Red Blend),2021,105,"Top 100, NWC 2023",Red Blends,Red Blends
Dornier Cocoa Hill Ruby Red 2021,2021,116,"Top 100, NWC 2023",Red Blends,Red Blends
Arendskloof Shiraz Tannat (Eagle's Cliff) 2021,2021,130,"Top 100, NWC 2023",Red Blends,Red Blends
Babylonstoren Babel 2021 (Red Blend),2021,180,"Top 3 Blends, SSA 2023",Red Blends,Red Blends
Boschendal Nicolas 2021 (Red Blend),2021,200,"Gold, MV 2023",Red Blends,Red Blends
Le Riche Richesse 2021 (Red Blend),2021,210,"93/100, DWA 2023",Red Blends,Red Blends
Leopard's Leap Pardus 2021 (Red Blend),2021,220,"Gold, MV 2023",Red Blends,Red Blends
Anysbos Tesame 2021 (Red Blend),2021,330,"95/100, PG 2023",Red Blends,Red Blends
Zorgvliet Silver Myn Argentum 2021 (Red Blend),2021,116,"D Gold, GWC 2023",Red Blends - Bordeaux Style,Red Blends
Diemersdal Private Collection 2021 (Red Blend),2021,200,"95/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Rustenberg John X Merriman 2021 (Red Blend),2021,240,"96/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Franschhoek Cellar Last Elephant 2021 (Red Blend),2021,250,"D Gold, VA 2023",Red Blends - Bordeaux Style,Red Blends
Chamonix Troika Reserve 2021 (Red Blend),2021,395,"Gold, CFC 2023",Red Blends - Bordeaux Style,Red Blends
Delaire Graff Botmaskop 2021 (Red Blend),2021,405,"95/100, WM 2023",Red Blends - Bordeaux Style,Red Blends
Meerlust Rubicon 2021 (Red Blend),2021,548,"95/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Babylonstoren Nebukadnesar 2021 (Red Blend),2021,625,"95/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Landskroon Cabernet Franc Merlot 2021,2021,95,"Gold, CFC 2023",Red Blends - Bordeaux Style,Red Blends
Agaat John David (Truter) 2021 (Red Blend),2021,135,"Top 10, PCB 2023",Red Blends - Cape Blend,Red Blends
Bellevue Atticus Cape Blend 2021 (Red Blend),2021,145,"Top 6, PCB 2023",Red Blends - Cape Blend,Red Blends
Beyerskloof Synergy Cape Blend 2021 (Red Blend),2021,150,"Top 6, PCB 2023",Red Blends - Cape Blend,Red Blends
Alvi's Drift Reserve Drift Fusion 2021 (Red Blend),2021,165,"Best in Class, NWC 2023",Red Blends - Cape Blend,Red Blends
La Cave Cape Blend (Wellington Wines) 2021,2021,220,"D Gold, VA 2023",Red Blends - Cape Blend,Red Blends
Carl Everson Cape Blend (Opstal) 2021,2021,250,"96/100, PG 2023",Red Blends - Cape Blend,Red Blends
Essay Syrah Cinsault & Grenache & Mourvèdre (MAN) 2021,2021,105,"98/100, TWS 2023",Red Blends - Rhone Style,Red Blends
Zonnebloem Shiraz Mourvèdre Viognier (Heineken) 2021,2021,120,"D Gold, VA 2023",Red Blends - Rhone Style,Red Blends
Hartenberg Doorkeeper Shiraz Mourvèdre Grenache 2021,2021,130,"93/100, G&G 2023",Red Blends - Rhone Style,Red Blends
Fairview Caldera 2021 (Red Blend),2021,170,"95/100, PG 2023",Red Blends - Rhone Style,Red Blends
Mimosa Mysterium 2021 (Red Blend),2021,204,"93/100, G&G 2023",Red Blends - Rhone Style,Red Blends
Lourensford Limited Release SMV 2021,2021,245,"Top 6 Blends, SSA 2023",Red Blends - Rhone Style,Red Blends
Erasmus Family Reserve (Cape Wine Co) 2021 (Red Blend),2021,350,"Top 100, NWC 2023",Red Blends - Rhone Style,Red Blends
Rall Red 2021,2021,365,"95/100, PG 2023",Red Blends - Rhone Style,Red Blends
Saronsberg Full Circle 2021 (Red Blend),2021,620,"Master, GWM 2023",Red Blends - Rhone Style,Red Blends
Fairview Goats do Roam Red Blend 2021,2021,73,"94/100, WM 2023",Red Blends - Rhone Style,Red Blends
Saronsberg Roussanne 2021,2021,200,"95/100, PG 2023",Roussanne,
Lutzville Diamond Collection Sauvignon Blanc 2021,2021,130,"N Winner, SAT 2023",Sauvignon Blanc,White
The Pledge Our Origin Sauvignon Blanc (Le Grand) 2021,2021,150,"Gold, CMS 2023",Sauvignon Blanc,White
Klein Constantia Sauvignon Blanc 2021,2021,185,"95/100, IWC 2023",Sauvignon Blanc,White
Almenkerk Sauvignon Blanc 2021,2021,195,"Gold, CMS 2023",Sauvignon Blanc,White
Vrede en Lust Artisan Blanc Fumé 2021 (Sauvignon Blanc),2021,200,"Gold, CMS 2023",Sauvignon Blanc,White
Kruger Old Vines Sauvignon Blanc 2021,2021,225,"94/100, WM 2023",Sauvignon Blanc,White
Diemersdal Journal Sauvignon Blanc 2021,2021,240,"93/100, WM 2023",Sauvignon Blanc,White
Marianne Sauvignon Blanc 2021,2021,245,"D Gold, VA 2023",Sauvignon Blanc,White
Mellish Bakenkop Blanc Fumé 2021 (Sauvignon Blanc),2021,245,"Gold, GWC 2023",Sauvignon Blanc,White
Lomond Ben Nevis Sauvignon Blanc 2021,2021,250,"Gold, CMS 2023",Sauvignon Blanc,White
Steenberg Black Swan Sauvignon Blanc 2021,2021,260,"93/100, IWC 2023",Sauvignon Blanc,White
Vergelegen Schaapenberg Reserve Sauvignon Blanc 2021,2021,280,"Gold, CMS 2023",Sauvignon Blanc,White
Neil Ellis Amica Sauvignon Blanc 2021,2021,325,"95/100, PG 2023",Sauvignon Blanc,White
Buitenverwachting Maximus 2021 (Sauvignon Blanc),2021,375,"95/100, PG 2023",Sauvignon Blanc,White
KWV Cathedral Cellar Sauvignon Blanc 2021,2021,99,"D Gold, VA 2023",Sauvignon Blanc,White
Pella White Granite Semillon 2021 (Super Single Vyds),2021,180,"95/100, PG 2023",Semillon,White
Benguela Cove Catalina Semillon 2021,2021,1950,"95/100, PG 2023",Semillon,White
Constantia Uitsig Semillon 2021,2021,200,"93/100, WM 2023",Semillon,White
Shannon Triangle Block Semillon 2021,2021,250,"95/100, PG 2023",Semillon,White
Old Road Grand-mére Semillon 2021,2021,350,"95/100, PG 2023",Semillon,White
Pilgrimage Old Vine Semillon (Rickety Bridge) 2021,2021,595,"95/100, PG 2023",Semillon,White
Nederburg Winemasters Shiraz 2021,2021,115,"D Gold, VA 2023",Shiraz / Syrah,Red
Saronsberg Provenance Shiraz 2021,2021,130,"Top 20, SSA 2023",Shiraz / Syrah,Red
Gustus Shiraz (Darling Cellars) 2021,2021,135,"Top 12, SSA 2023",Shiraz / Syrah,Red
Spier Seaward Shiraz 2021,2021,135,"Gold, GWC 2023",Shiraz / Syrah,Red
Tokara Shiraz 2021,2021,140,"D Gold, VA 2023",Shiraz / Syrah,Red
Sunkloof Reserve Shiraz (Stellenview) 2021,2021,142,"Top 20, SSA 2023",Shiraz / Syrah,Red
Durbanville Hills Collectors Reserve Shiraz 2021,2021,165,"94/100, WM 2023",Shiraz / Syrah,Red
Zonnebloem Shiraz (Heineken) 2021,2021,181,"Top 20, SSA 2023",Shiraz / Syrah,Red
Survivor Syrah (Overhex) 2021,2021,200,"94/100, IWSC 2023",Shiraz / Syrah,Red
La Cave Shiraz (Wellington Wines) 2021,2021,220,"Top 20, SSA 2023",Shiraz / Syrah,Red
Kasteelberg Syrah (Riebeek) 2021,2021,240,"93/100, WM 2023",Shiraz / Syrah,Red
Bon Courage Inkará Shiraz 2021,2021,245,"Top 100, NWC 2023",Shiraz / Syrah,Red
Saxenburg Private Collection Syrah 2021,2021,260,"95/100, PG 2023",Shiraz / Syrah,Red
Driehoek Syrah 2021,2021,279,"95/100, PG 2023",Shiraz / Syrah,Red
De Grendel Op die Berg Syrah 2021,2021,310,"N Winner, SAT 2023",Shiraz / Syrah,Red
Harry Hartman Somesay Syrah 2021,2021,330,"D Gold, VA 2023",Shiraz / Syrah,Red
Saronsberg Shiraz 2021,2021,340,"93/100, IWSC 2023",Shiraz / Syrah,Red
"Blueberry Hill Shiraz (ArtiSons, Stellenrust) 2021",2021,395,"95/100, PG 2023",Shiraz / Syrah,Red
La Bri Limited Release Syrah 2021,2021,430,"95/100, PG 2023",Shiraz / Syrah,Red
Mullineux Syrah 2021,2021,445,"95/100, PG 2023",Shiraz / Syrah,Red
Fairview Eenzaamheid Shiraz 2021,2021,475,"94/100, IWSC 2023",Shiraz / Syrah,Red
Kleine Zalze Project Z Syrah 2021,2021,590,"94/100, IWSC 2023",Shiraz / Syrah,Red
Oldenburg Rondekop Stone Axe Syrah 2021,2021,650,"97/100, TWS 2023",Shiraz / Syrah,Red
Quoin Rock Shiraz 2021,2021,650,"Gold, MV 2023",Shiraz / Syrah,Red
Boschkloof Epilogue 2021 (Shiraz),2021,850,"97/100, PG 2023",Shiraz / Syrah,Red
Leeuwenkuil Shiraz 2021,2021,89,"93/100, WM 2023",Shiraz / Syrah,Red
Krone Borealis Brut 2021 (MCC),2021,195,"95/100, IWC 2023",MCC,Sparkling
Simonsig Kaapse Vonkel Brut 2021 (MCC),2021,195,"Gold, MV 2023",MCC,Sparkling
Saronsberg Viognier 2021,2021,180,"Best in Class, NWC 2023",Viognier,White
Lourensford Limited Release Viognier 2021,2021,200,"Gold, MV 2023",Viognier,White
Sadie Family Palladius 2021 (White Blend),2021,1000,"95/100, PG 2023",White Blends,White Blends
Alvi's Drift Reserve CVC 2021 (White Blend),2021,140,"Top 100, NWC 2023",White Blends,White Blends
Retief Reserve Cape White Blend (Van Loveren) 2021,2021,140,"Best in Class, NWC 2023",White Blends,White Blends
Org de Rac Die Waghuis White Blend 2021,2021,199,"94/100, WM 2023",White Blends,White Blends
Muratie Laurens Campher 2021 (White Blend),2021,250,"Gold, GWC 2023",White Blends,White Blends
Grapesmith Mediterraneo (Simonsig) 2021 (White Blend),2021,285,"95/100, PG 2023",White Blends,White Blends
Ahrens Family WhiteBlack 2021 (White Blend),2021,325,"95/100, PG 2023",White Blends,White Blends
Bellingham Freda 2021,2021,400,"97/100, DWA 2023",White Blends,White Blends
Ses'fikile Chenin Blanc Roussanne 2021,2021,83,"95/100, DM 2023",White Blends,White Blends
Forager White (African Pride) 2021,2021,90,"93/100, DM 2023",White Blends,White Blends
Darling Cellars Lady Ann Darling 2021 (White Blend),2021,175,"Gold, CMS 2023",White Blends Bordeaux Style,White Blends
Durbanville Hills Tangram White 2021,2021,230,"94/100, WM 2023",White Blends Bordeaux Style,White Blends
Constantia Glen Two 2021 (White Blend),2021,320,"93/100, DWA 2023",White Blends Bordeaux Style,White Blends
Kershaw GPS Cape South Coast Semillon Sauvignon Blanc 2021,2021,395,"95/100, PG 2023",White Blends Bordeaux Style,White Blends
Kershaw GPS Cape South Coast Semillon Sauvignon Blanc 2021,2021,395,"93/100, IWSC 2023",White Blends Bordeaux Style,White Blends
Vergelegen G.V.B White 2021,2021,500,"97/100, TWS 2023",White Blends Bordeaux Style,White Blends
Delaire Graff White Reserve 2021,2021,535,"97/100, TWS 2023",White Blends Bordeaux Style,White Blends
Groot Constantia Gouverneurs Reserve White 2021,2021,540,"93/100, DWA 2023",White Blends Bordeaux Style,White Blends
Steenberg Magna Carta Sauvignon Blanc Semillon 2021,2021,850,"95/100, PG 2023",White Blends Bordeaux Style,White Blends
Backsberg Patriarch Cabernet Franc 2022,2022,220,"Gold, GWC 2023",Cabernet Franc,Red
Hogan Mirror for the Sun Cabernet Franc 2022,2022,345,"95/100, PG 2023",Cabernet Franc,Red
De Wetshof Limestone Hill Chardonnay 2022,2022,110,"Gold, MV 2023",Chardonnay,White
Paul Cluver Village Chardonnay 2022,2022,125,"94/100, WM 2023",Chardonnay,White
Tokara Chardonnay 2022,2022,125,"93/100, G&G 2023",Chardonnay,White
Spier Seaward Chardonnay 2022,2022,135,"Gold, CM 2023",Chardonnay,White
Kleine Zalze Vineyard Selection Chardonnay 2022,2022,148,"93/100, IWC 2023",Chardonnay,White
Lutzville Diamond Collection Chardonnay 2022,2022,155,"93/100, G&G 2023",Chardonnay,White
De Wetshof Finesse Chardonnay 2022,2022,168,"Gold, MV 2023",Chardonnay,White
Fleur du Cap Unfiltered Chardonnay (Heineken) 2022,2022,170,"Gold, CM 2023",Chardonnay,White
Dieu Donné Chardonnay 2022,2022,190,"93/100, G&G 2023",Chardonnay,White
Journey's End VI Chardonnay 2022,2022,195,"93/100, WM 2023",Chardonnay,White
Blaauwklippen Chardonnay 2022,2022,200,"94/100, WM 2023",Chardonnay,White
Cavalli Reserve Chardonnay 2022,2022,210,"D Gold, VA 2023",Chardonnay,White
Rustenberg Stellenbosch Chardonnay 2022,2022,210,"95/100, IWSC 2023",Chardonnay,White
Louisvale Chardonnay 2022,2022,225,"D Gold, VA 2023",Chardonnay,White
Hogan Galvanised Chardonnay 2022,2022,247,"95/100, PG 2023",Chardonnay,White
Constantia Uitsig Reserve Chardonnay 2022,2022,250,"93/100, DWA 2023",Chardonnay,White
Gabriel & Gysbert Ijsland Chardonnay 2022,2022,250,"95/100, G&G 2023",Chardonnay,White
Survivor Chardonnay (Overhex) 2022,2022,250,"Gold, MV 2023",Chardonnay,White
La Bri Barrel Select Chardonnay 2022,2022,260,"95/100, PG 2023",Chardonnay,White
Tokara Reserve Stellenbosch Chardonnay 2022,2022,260,"D Gold, VA 2023",Chardonnay,White
Oak Valley Groenlandberg Chardonnay 2022,2022,280,"95/100, PG 2023",Chardonnay,White
Rietvallei JMB Chardonnay 2022,2022,280,"Top 100, NWC 2023",Chardonnay,White
Benguela Cove Chardonnay 2022,2022,289,"97/100, TWS 2023",Chardonnay,White
GlenWood Vigneron's Selection Chardonnay 2022,2022,300,"95/100, PG 2023",Chardonnay,White
Journey's End Destination Chardonnay 2022,2022,330,"Master, GWM 2023",Chardonnay,White
Oldenburg Chardonnay 2022,2022,350,"95/100, PG 2023",Chardonnay,White
Bouchard Finlayson Missionvale Chardonnay 2022,2022,352,"93/100, DWA 2023",Chardonnay,White
Creation Reserve Chardonnay 2022,2022,360,"95/100, PG 2023",Chardonnay,White
David Finlayson Camino Africana Shale Terraces Chardonnay 2022,2022,365,"95/100, PG 2023",Chardonnay,White
De Wetshof The Site Chardonnay 2022,2022,368,"Gold, MV 2023",Chardonnay,White
Survivor Cellar Master Series Chardonnay 2022 (Overhex),2022,370,"94/100, IWSC 2023",Chardonnay,White
Delaire Graff Banghoek Reserve Chardonnay 2022,2022,410,"93/100, WM 2023",Chardonnay,White
Haskell Anvil Chardonnay 2022,2022,430,"95/100, PG 2023",Chardonnay,White
Kinkel Chardonnay (Draaiboek) 2022,2022,430,"95/100, PG 2023",Chardonnay,White
Onskuld Chardonnay (Draaiboek) 2022,2022,430,"95/100, PG 2023",Chardonnay,White
Cap Maritime Chardonnay (Boekenhoutskloof) 2022,2022,445,"95/100, PG 2023",Chardonnay,White
Matthew van Heerden Chardonnay 2022,2022,450,"95/100, PG 2023",Chardonnay,White
Plaisir Grand Plaisir White 2022 (Chardonnay),2022,490,"95/100, PG 2023",Chardonnay,White
Weltevrede Poet's Prayer Chardonnay 2022,2022,510,"93/100, G&G 2023",Chardonnay,White
Rustenberg Five Soldiers Chardonnay 2022,2022,530,"94/100, IWSC 2023",Chardonnay,White
Lanzerac Mrs English Single Vineyard Chardonnay 2022,2022,575,"95/100, PG 2023",Chardonnay,White
Storm Ridge Chardonnay 2022,2022,630,"95/100, PG 2023",Chardonnay,White
Storm Vrede Chardonnay 2022,2022,630,"95/100, PG 2023",Chardonnay,White
Douglas Green Chardonnay 2022,2022,69,"Gold, MV 2023",Chardonnay,White
Douglas Green Vineyard Friends Chardonnay 2022 (DGB),2022,70,"Gold, MV 2023",Chardonnay,White
Lutzville Chardonnay 2022,2022,80,"93/100, TWS 2023",Chardonnay,White
Bon Courage Unwooded Chardonnay 2022,2022,83,"96/100, TWS 2023",Chardonnay,White
Nederburg Winemasters Chardonnay 2022,2022,90,"95/100, DWA 2023",Chardonnay,White
Delaire Graff Estate Terraced Block Reserve Chardonnay 2022,2022,915,"94/100, WM 2023",Chardonnay,White
Zonnebloem Chardonnay (Heineken) 2022,2022,95,"Gold, GWM 2023",Chardonnay,White
Paul Cluver Seven Flags Chardonnay 2022,2022,950,"Master, GWM 2023",Chardonnay,White
KWV Cathedral Cellar Chardonnay 2022,2022,99,"Gold, MV 2023",Chardonnay,White
Dornier Pirate of Cocoa Hill Chenin Blanc 2022,2022,103,"93/100, WM 2023",Chenin Blanc,White
Painted Wolf Den Chenin Blanc 2022,2022,105,"93/100, WM 2023",Chenin Blanc,White
Spier Good Natured Organic Chenin Blanc 2022,2022,109,"Gold, GWM 2023",Chenin Blanc,White
Sadie Family Mev Kirsten 2022 (Chenin),2022,1095,"96/100, PG 2023",Chenin Blanc,White
Mulderbosch Steen op Hout Chenin Blanc 2022,2022,110,"Platinum, TEX 2023",Chenin Blanc,White
Wildekrans Chenin Blanc 2022,2022,110,"Top 100, NWC 2023",Chenin Blanc,White
Rietvallei Chenin Blanc 2022,2022,120,"93/100, DM 2023",Chenin Blanc,White
Durbanville Hills Collectors Reserve Chenin Blanc 2022,2022,135,"Gold, GWM 2023",Chenin Blanc,White
Spier Seaward Chenin Blanc 2022,2022,135,"D Gold, VA 2023",Chenin Blanc,White
Kleine Zalze Vineyard Selection Chenin Blanc 2022,2022,148,"Gold, GWM 2023",Chenin Blanc,White
Beaumont Chenin Blanc 2022,2022,150,"95/100, DM 2023",Chenin Blanc,White
Perdeberg Dry Land Old Vine Barrel Fermented Chenin Blanc 2022,2022,160,"D Gold, VA 2023",Chenin Blanc,White
Stellenbosch Vineyards Credo Chenin Blanc 2022,2022,175,"95/100, PG 2023",Chenin Blanc,White
Knorhoek Chenin Blanc 2022,2022,180,"Gold, MV 2023",Chenin Blanc,White
Lievland Old Vine Chenin Blanc 2022,2022,180,"Top 10, CBC 2023",Chenin Blanc,White
Cavalli Reserve Chenin Blanc 2022,2022,185,"93/100, G&G 2023",Chenin Blanc,White
Nederburg Heritage Heroes Anchorman Old Vine Chenin Blanc 2022,2022,190,"93/100, WM 2023",Chenin Blanc,White
Quest Old Vine Chenin Blanc (DTK) 2022,2022,190,"95/100, DWA 2023",Chenin Blanc,White
Stellenrust Stellenbosch Manor Barrel Fermented Chenin Blanc 2022,2022,200,"Top 10, CBC 2023",Chenin Blanc,White
Bellingham Bernard Series Old Vine Chenin Blanc Limited Release 2022,2022,215,"95/100, DWA 2023",Chenin Blanc,White
DaschBosch Mossiesdrift Steen (uniWines) 2022 (Chenin),2022,220,"95/100, PG 2023",Chenin Blanc,White
Groot Phesantekraal Anna de Koning Chenin Blanc 2022,2022,220,"D Gold, GWC 2023",Chenin Blanc,White
Vrede en Lust Kogelberg Chenin Blanc 2022,2022,220,"D Gold, GWC 2023",Chenin Blanc,White
Simonsig Langbult Steen Old Vine Chenin Blanc 2022,2022,235,"Gold, MV 2023",Chenin Blanc,White
Charla Haasbroek Chenin Blanc 2022,2022,250,"95/100, PG 2023",Chenin Blanc,White
Stellenrust Barrel Fermented Chenin Blanc 2022,2022,250,"Trophy, GWC 2023",Chenin Blanc,White
Wildeberg Terroirs Chenin Blanc 2022,2022,260,"93/100, WM 2023",Chenin Blanc,White
Stellenrust Secrets & Lies Old Bush Vine Chenin Blanc 2022,2022,266,"93/100, IWSC 2023",Chenin Blanc,White
