Wine and Vintage,Vintage,Price per Bottle (ZAR),RATING,Category,Second Category
Stellenrust Barrel Fermented Chenin Blanc 2020,2020,240,"94/100, DM 2023",Chenin Blanc,White
Bruce Jack Boer Maak ’n Plan Chenin Blanc 2020,2020,250,"95/100, DM 2023",Chenin Blanc,White
Survivor Chenin Blanc Reserve (Overhex) 2020,2020,330,"95/100, DM 2023",Chenin Blanc,White
Carinus Polkadraai Heuwels Chenin Blanc 2020,2020,335,"95/100, DM 2023",Chenin Blanc,White
Old Road Stone Trail Single Vineyard Chenin Blanc 2020,2020,385,"Gold, GWC 2023",Chenin Blanc,White
DeMorgenzon Reserve Chenin Blanc 2020,2020,430,"93/100, IWC 2023",Chenin Blanc,White
Mountain Ridge Chenin Blanc 2020,2020,85,"94/100, DM 2023",Chenin Blanc,White
Darling Cellars Old Bush Vines Cinsaut 2020,2020,220,"93/100, IWSC 2023",Cinsault,Red
Benguela Cove Sauvignon Blanc Noble Late Harvest 2020,2020,220,"N Winner, SAT 2023",Dessert Wine - Unfortified,Dessert
Saronsberg Grenache 2020,2020,270,"N Winner, SAT 2023",Grenache Noir,White
Mt Vernon Malbec 2020,2020,300,"Gold, MC 2023",Malbec,Red
Die Laan Merlot Reserve (Welgevallen) 2020,2020,120,"Top 20, T10M 2023",Merlot,Red
La Bri Merlot 2020,2020,180,"Top 20, T10M 2023",Merlot,Red
Stellekaya Merlot 2020,2020,190,"93/100, G&G 2023",Merlot,Red
Zorgvliet Merlot 2020,2020,190,"Top 10, T10M 2023",Merlot,Red
Vondeling Barrel Selection Merlot 2020,2020,195,"Top 10, T10M 2023",Merlot,Red
Rainbow's End Merlot 2020,2020,220,"Winner, T10M 2023",Merlot,Red
Bein Merlot 2020,2020,230,"Top 10, T10M 2023",Merlot,Red
Ridgeback Merlot 2020,2020,235,"Top 10, T10M 2023",Merlot,Red
Groot Constantia Merlot 2020,2020,290,"Top 20, T10M 2023",Merlot,Red
Villiera Monro Merlot 2020,2020,325,"93/100, IWC 2023",Merlot,Red
Fairview Petite Sirah 2020,2020,140,"Best in Class, NWC 2023",Niche Red Varieties,Niche Red
Painted Wolf Black Tip Mourvèdre 2020,2020,260,"Best in Class, NWC 2023",Niche Red Varieties,Niche Red
Saronsberg Mourvèdre 2020,2020,270,"N Winner, SAT 2023",Niche Red Varieties,Niche Red
KWV Mentors Petit Verdot 2020,2020,339,"93/100, G&G 2023",Petit Verdot,Red
Gentis Bishop Petit Verdot (Thor) 2020,2020,830,"Gold, GWC 2023",Petit Verdot,Red
Driehoek Mieke Pinot Noir 2020,2020,225,"Top 5, T5P 2023",Pinot Noir,Red
Haute Cabriére Reserve Pinot Noir 2020,2020,285,"93/100, G&G 2023",Pinot Noir,Red
La Vierge Apogée Pinot Noir 2020,2020,305,"95/100, DM 2023",Pinot Noir,Red
Lothian Pinot Noir 2020,2020,310,"Top 5, T5P 2023",Pinot Noir,Red
Iona Kloof Pinot Noir 2020,2020,595,"95/100, PG 2023",Pinot Noir,Red
Backsberg Blueberry Row Pinotage 2020 (DGB),2020,120,"Gold, MV 2023",Pinotage,Red
Bellingham Homestead Pinotage 2020,2020,120,"93/100, DWA 2023",Pinotage,Red
KWV Cathedral Cellar Pinotage 2020,2020,149,"93/100, G&G 2023",Pinotage,Red
Windmeul Reserve Pinotage 2020,2020,150,"94/100, WM 2023",Pinotage,Red
Kleine Zalze Vineyard Selection Pinotage 2020,2020,199,"Gold, MV 2023",Pinotage,Red
Diemersfontein Carpe Diem Pinotage Reserve 2020,2020,260,"Top 100, NWC 2023",Pinotage,Red
Doolhof Single Vineyard Pinotage 2020,2020,295,"N Winner, SAT 2023",Pinotage,Red
Lyngrove Platinum Pinotage 2020,2020,295,"Top 20, T10P 2023",Pinotage,Red
KWV Mentors Pinotage 2020,2020,339,"Top 20, T10P 2023",Pinotage,Red
Diemersdal Journal Pinotage 2020,2020,370,"D Gold, VA 2023",Pinotage,Red
Bowwood Pinotage (Vondeling) 2020,2020,439,"D Gold, VA 2023",Pinotage,Red
Fairview Primo Pinotage 2020,2020,475,"Top 10, T10P 2023",Pinotage,Red
Alvi's Drift Verreaux Pinotage 2020,2020,550,"Best in Class, NWC 2023",Pinotage,Red
L'Avenir Single Block Pinotage 2020,2020,700,"Top 10, T10P 2023",Pinotage,Red
Du Toitskloof Pinotage 2020,2020,85,"Gold, GWC 2023",Pinotage,Red
Beyerskloof Diesel Pinotage 2020,2020,950,"Top 10, T10P 2023",Pinotage,Red
Muratie Ben Prins Cape Vintage 2020 (Port),2020,320,"N Winner, SAT 2023","Port, Sherry",Fortified 
Boplaas Cape Vintage Reserve 2020 (Port),2020,325,"D Gold, VA 2023","Port, Sherry",Fortified 
De Krans Cape Vintage Reserve 2020 (Port),2020,350,"97/100, TWS 2023","Port, Sherry",Fortified 
Old Road Spotted Hound Red Blend 2020,2020,119,"Gold, MV 2023",Red Blends,Red Blends
"Roodeberg Reserve 2020 (Red Blend, KWV)",2020,149,"D Gold, VA 2023",Red Blends,Red Blends
Fairview Extraño 2020 (Red Blend),2020,150,"93/100, WM 2023",Red Blends,Red Blends
Groot Constantia Lady of Abundance 2020 (Red Blend),2020,175,"Best in Class, NWC 2023",Red Blends,Red Blends
Stellenbosch Vineyards Credo SMV 2020,2020,175,"Best in Class, NWC 2023",Red Blends,Red Blends
Leeu Passant 2020 (Red Blend),2020,1820,"95/100, PG 2023",Red Blends,Red Blends
Landskroon Paul de Villiers Reserve 2020 (Red Blend),2020,190,"Top 100, NWC 2023",Red Blends,Red Blends
Zonnebloem Lauréat (Heineken) 2020 (Red Blend),2020,204,"93/100, WM 2023",Red Blends,Red Blends
Quoin Rock Simonsberg Blend 2020 (Red Blend),2020,220,"93/100, G&G 2023",Red Blends,Red Blends
Bellingham Bernard Series Maverick SMV 2020 (Red Blend),2020,320,"93/100, DWA 2023",Red Blends,Red Blends
Roodeberg Dr Charles Niehaus (KWV) 2020 (Red Blend),2020,339,"93/100, IWSC 2023",Red Blends,Red Blends
Deux Frères Tribute 2020 (Red Blend),2020,370,"96/100, G&G 2023",Red Blends,Red Blends
Bouchard Finlayson Hannibal 2020 (Red Blend),2020,399,"97/100, TWS 2023",Red Blends,Red Blends
Alto Estate Blend 2020 (Red Blend),2020,450,"96/100, PG 2023",Red Blends,Red Blends
Fairview Cyril Back 2020 (Red Blend),2020,995,"Top 6 Blends, SSA 2023",Red Blends,Red Blends
La Motte Millennium 2020 (Red Blend),2020,110,"Gold, CM 2023",Red Blends - Bordeaux Style,Red Blends
Vilafonté Series C 2020 (Red Blend),2020,1190,"Gold, GWC 2023",Red Blends - Bordeaux Style,Red Blends
Diemersdal Private Collection 2020 (Red Blend),2020,190,"Gold, CM 2023",Red Blends - Bordeaux Style,Red Blends
Lovane Isikhati 2020 (Red Blend),2020,200,"D Gold, VA 2023",Red Blends - Bordeaux Style,Red Blends
Warwick Professor Black Pitch Black 2020 (Red Blend),2020,220,"93/100, IWSC 2023",Red Blends - Bordeaux Style,Red Blends
Vrede en Lust Boet Erasmus 2020 (Red Blend),2020,280,"Top 100, NWC 2023",Red Blends - Bordeaux Style,Red Blends
Raats Family Jasper Red Blend 2020,2020,305,"Top 3 Blends, CFC 2023",Red Blends - Bordeaux Style,Red Blends
KWV Mentors Orchestra 2020 (Red Blend),2020,339,"96/100, G&G 2023",Red Blends - Bordeaux Style,Red Blends
Spier First Stone Organic Red Blend 2020,2020,350,"Gold, CM 2023",Red Blends - Bordeaux Style,Red Blends
Bacco Red Blend 2020,2020,360,"95/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Constantia Glen Three 2020 (Red Blend),2020,360,"95/100, WM 2023",Red Blends - Bordeaux Style,Red Blends
Tokara Director's Reserve Red 2020,2020,460,"Gold, GWC 2023",Red Blends - Bordeaux Style,Red Blends
Rainbow's End Family Reserve 2020 (Red Blend),2020,500,"95/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Marianne Desirade 2020 (Red Blend),2020,520,"96/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Jordan Cobblers Hill 2020 (Red Blend),2020,527,"95/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Groot Constantia Gouverneurs Reserve Red 2020,2020,540,"93/100, WM 2023",Red Blends - Bordeaux Style,Red Blends
Overgaauw Tria Corda 2020 (Red Blend),2020,550,"95/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Harry Hartman Coracle 2020 (Red Blend),2020,575,"93/100, WM 2023",Red Blends - Bordeaux Style,Red Blends
Babylonstoren Nebukadnesar 2020 (Red Blend),2020,605,"93/100, DWA 2023",Red Blends - Bordeaux Style,Red Blends
Keet First Verse 2020 (Red Blend),2020,615,"95/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Constantia Glen Five 2020 (Red Blend),2020,620,"96/100, IWSC 2023",Red Blends - Bordeaux Style,Red Blends
Warwick Trilogy 2020 (Red Blend),2020,625,"95/100, DWA 2023",Red Blends - Bordeaux Style,Red Blends
Quoin Rock Red Blend 2020,2020,700,"95/100, IWSC 2023",Red Blends - Bordeaux Style,Red Blends
Flagstone Dragon Tree Cape Blend 2020,2020,155,"Top 6, PCB 2023",Red Blends - Cape Blend,Red Blends
Endura Winemaker's Selection Cape Blend (Perdeberg) 2020 (Red Blend),2020,350,"Top 6, PCB 2023",Red Blends - Cape Blend,Red Blends
KWV Mentors Perold 2020 (Red Blend),2020,749,"94/100, G&G 2023",Red Blends - Cape Blend,Red Blends
Beyerskloof Faith 2020 (Red Blend),2020,800,"D Gold, VA 2023",Red Blends - Cape Blend,Red Blends
Strandveld Navigator 2020 (Red Blend),2020,250,"93/100, WM 2023",Red Blends - Rhone Style,Red Blends
KWV Mentors Canvas 2020 (Red Blend),2020,339,"93/100, G&G 2023",Red Blends - Rhone Style,Red Blends
Bergsig Weisser Riesling 2020,2020,86,"N Winner, SAT 2023",Riesling,
Gustus Sauvignon Blanc (Darling Cellars) 2020,2020,105,"Trophy, CMS 2023",Sauvignon Blanc,White
Vrede en Lust Artisan Blanc Fumé 2020 (Sauvignon Blanc),2020,200,"Gold, CMS 2023",Sauvignon Blanc,White
Kleine Zalze Family Reserve Sauvignon Blanc 2020,2020,270,"Gold, CMS 2023",Sauvignon Blanc,White
Klein Constantia Metis Sauvignon Blanc 2020,2020,295,"95/100, PG 2023",Sauvignon Blanc,White
Akkerdal Semillon 2020,2020,205,"Best in Class, NWC 2023",Semillon,White
Benguela Cove Catalina Semillon 2020,2020,650,"N Winner, SAT 2023",Semillon,White
Villiersdorp Winery Syrah 2020,2020,100,"97/100, TWS 2023",Shiraz / Syrah,Red
Cape Five Reserve Shiraz (Stellenview) 2020,2020,116,"93/100, IWSC 2023",Shiraz / Syrah,Red
Bellingham Homestead Shiraz 2020,2020,120,"Gold, MV 2023",Shiraz / Syrah,Red
Cloof Very Sexy Shiraz 2020,2020,120,"Top 100, NWC 2023",Shiraz / Syrah,Red
Zandvliet Shiraz (Van Loveren) 2020,2020,150,"Top 100, NWC 2023",Shiraz / Syrah,Red
Raka Biography Shiraz 2020,2020,170,"Top 100, NWC 2023",Shiraz / Syrah,Red
Land's End Cape Agulhas Syrah (DTK) 2020,2020,195,"Top 100, NWC 2023",Shiraz / Syrah,Red
Backsberg Pumphouse Shiraz (DGB) 2020,2020,200,"Gold, SdM 2023",Shiraz / Syrah,Red
Mellish Bakenkop Syrah 2020,2020,220,"95/100, WM 2023",Shiraz / Syrah,Red
Strandveld Syrah 2020,2020,240,"95/100, WM 2023",Shiraz / Syrah,Red
Kruger Family Reserve Shiraz (Stellenview) 2020,2020,250,"94/100, IWSC 2023",Shiraz / Syrah,Red
Dewaldt Heyns Weathered Hands Shiraz 2020,2020,260,"Top 12, SSA 2023",Shiraz / Syrah,Red
Bacco Prelude Syrah 2020,2020,270,"94/100, IWSC 2023",Shiraz / Syrah,Red
Cederberg Shiraz 2020,2020,270,"D Gold, GWC 2023",Shiraz / Syrah,Red
Uva Mira The Mira Shiraz 2020,2020,295,"Top 12, SSA 2023",Shiraz / Syrah,Red
Fairview Beacon Shiraz 2020,2020,475,"Top 12, SSA 2023",Shiraz / Syrah,Red
Boekenhoutskloof Syrah 2020,2020,495,"Gold, GWC 2023",Shiraz / Syrah,Red
Boschkloof Epilogue 2020 (Shiraz),2020,795,"93/100, IWC 2023",Shiraz / Syrah,Red
Du Toitskloof Shiraz 2020,2020,85,"Top 100, NWC 2023",Shiraz / Syrah,Red
Land's End Cape South Coast Shiraz (DTK) 2020,2020,95,"Best in Class, NWC 2023",Shiraz / Syrah,Red
Darling Cellars Cap Classique Nectar 2020,2020,150,"Best in Class, CCC 2023",MCC,Sparkling
Ken Forrester Sparklehorse Chenin Blanc Brut 2020 (MCC),2020,225,"Gold, GWM 2023",MCC,Sparkling
Canto Brut 2020 (MCC),2020,250,"D Gold, GWC 2023",MCC,Sparkling
